id,oblAmtDue,fillKey
VI,"103,612",1
FM,"342,905",1
NH,"926,825",1
DE,"1,337,286",1
MH,"2,196,240",1
AS,"2,200,000",1
NV,"3,771,889",1
WY,"3,831,219",1
PW,"3,948,728",1
PR,"4,190,703",1
ME,"7,067,367",1
ID,"10,077,842",2
MO,"10,287,034",2
NE,"10,591,248",2
OR,"11,641,312",2
UT,"12,772,132",2
MS,"14,656,584",2
IA,"14,667,233",2
WV,"17,287,153",2
VA,"17,617,109",2
HI,"19,096,581",2
SD,"20,749,106",2
MT,"25,608,780",3
KS,"26,681,015",3
ND,"28,045,076",3
IL,"28,374,616",3
AK,"30,118,066",3
KY,"32,543,085",3
MI,"36,355,719",3
IN,"37,005,571",3
OH,"37,524,649",3
TN,"38,178,195",3
VT,"40,205,649",3
NC,"41,219,833",3
CO,"41,320,542",3
NM,"46,382,165",3
MD,"48,836,662",3
FL,"51,651,327",4
AL,"52,419,014",4
CT,"57,697,215",4
DC,"61,279,188",4
SC,"62,368,345",4
AZ,"68,490,098",4
MN,"69,164,515",4
AR,"69,724,133",4
RI,"69,775,821",4
LA,"73,243,764",4
NJ,"75,171,813",4
OK,"81,830,485",4
TX,"84,966,306",4
GA,"90,318,125",4
MA,"99,122,659",4
WI,"110,933,202",5
WA,"147,212,571",5
PA,"148,813,782",5
NY,"184,187,709",5
CA,"257,126,091",5
