id,totalRisk,fillKey
AK,16,low
AL,15,low
AR,63,elevated
AS,340,significant
AZ,38,low
CA,19,low
CO,43,low
CT,25,low
DC,6,low
DE,15,low
FL,26,low
FM,55,elevated
GA,50,elevated
HI,16,low
IA,31,low
ID,24,low
IL,30,low
IN,49,elevated
KS,34,low
KY,21,low
LA,40,low
MA,28,low
MD,36,low
ME,24,low
MH,65,elevated
MI,17,low
MN,36,low
MO,28,low
MS,10,low
MT,40,low
NC,40,low
ND,33,low
NE,27,low
NH,10,low
NJ,22,low
NM,11,low
NV,29,low
NY,14,low
OH,37,low
OK,53,elevated
OR,27,low
PA,23,low
PR,52,elevated
PW,95,elevated
RI,38,low
SC,25,low
SD,63,elevated
TN,55,elevated
TX,22,low
UT,33,low
VA,49,elevated
VI,25,low
VT,28,low
WA,29,low
WI,25,low
WV,50,elevated
WY,43,low
