id,fillKey,totalRisk
AK,low,16
AL,low,15
AR,elevated,63
AS,significant,340
AZ,low,38
CA,low,19
CO,low,43
CT,low,25
DC,low,6
DE,low,15
FL,low,26
FM,elevated,55
GA,elevated,50
HI,low,16
IA,low,31
ID,low,24
IL,low,30
IN,elevated,49
KS,low,34
KY,low,21
LA,low,40
MA,low,28
MD,low,36
ME,low,24
MH,elevated,65
MI,low,17
MN,low,36
MO,low,28
MS,low,10
MT,low,40
NC,low,40
ND,low,33
NE,low,27
NH,low,10
NJ,low,22
NM,low,11
NV,low,29
NY,low,14
OH,low,37
OK,elevated,53
OR,low,27
PA,low,23
PR,elevated,52
PW,elevated,95
RI,low,38
SC,low,25
SD,elevated,63
TN,elevated,55
TX,low,22
UT,low,33
VA,elevated,49
VI,low,25
VT,low,28
WA,low,29
WI,low,25
WV,elevated,50
WY,low,43
