id, oblAmtDue ,fillKey,,,,
VI," $103,612.00 ",1,,,,
FM," $342,905.00 ",1,,,,
NH," $926,825.00 ",1,,,,
DE," $1,337,286.00 ",1,,,,
MH," $2,196,240.00 ",1,,,,
AS," $2,200,000.00 ",1,,,,
NV," $3,771,889.00 ",1,,,,
WY," $3,831,219.00 ",1,,,,
PW," $3,948,728.00 ",1,,,,
PR," $4,190,703.00 ",1,,,,
ME," $7,067,367.00 ",1,,,,
ID," $10,077,842.00 ",2,,,,
MO," $10,287,034.00 ",2,,,,
NE," $10,591,248.00 ",2,,,,
OR," $11,641,312.00 ",2,,,,
UT," $12,772,132.00 ",2,,,,
MS," $14,656,584.00 ",2,,,,
IA," $14,667,233.00 ",2,,,,
WV," $17,287,153.00 ",2,,,,
VA," $17,617,109.00 ",2,,,,
HI," $19,096,581.00 ",2,,,,
SD," $20,749,106.00 ",2,,,,
MT," $25,608,780.00 ",3,,,,
KS," $26,681,015.00 ",3,,,,
ND," $28,045,076.00 ",3,,,,
IL," $28,374,616.00 ",3,,,,
AK," $30,118,066.00 ",3,,,,
KY," $32,543,085.00 ",3,,,,
MI," $36,355,719.00 ",3,,,,
IN," $37,005,571.00 ",3,,,,
OH," $37,524,649.00 ",3,,,,
TN," $38,178,195.00 ",3,,,,
VT," $40,205,649.00 ",3,,,,
NC," $41,219,833.00 ",3,,,,
CO," $41,320,542.00 ",3,,,,
NM," $46,382,165.00 ",3,,,,
MD," $48,836,662.00 ",3,,,,
FL," $51,651,327.00 ",4,,,,
AL," $52,419,014.00 ",4,,,,
CT," $57,697,215.00 ",4,,,,
DC," $61,279,188.00 ",4,,,,
SC," $62,368,345.00 ",4,,,,
AZ," $68,490,098.00 ",4,,,,
MN," $69,164,515.00 ",4,,,,
AR," $69,724,133.00 ",4,,,,
RI," $69,775,821.00 ",4,,,,
LA," $73,243,764.00 ",4,,,,
NJ," $75,171,813.00 ",4,,,,
OK," $81,830,485.00 ",4,,,,
TX," $84,966,306.00 ",4,,,,
GA," $90,318,125.00 ",4,,,,
MA," $99,122,659.00 ",4,,,,
WI," $110,933,202.00 ",5,,,,
WA," $147,212,571.00 ",5,,,,
PA," $148,813,782.00 ",5,,,,
NY," $184,187,709.00 ",5,,,,
CA," $257,126,091.00 ",5,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
