id,fillKey,dunsGrantees
KY,low,80
NY,low,303
AL,low,89
MS,low,62
ME,low,49
NJ,low,87
PA,low,258
WI,low,186
NE,low,43
NM,low,71
SC,low,54
CA,low,494
OR,low,69
HI,low,34
MA,low,159
WA,low,128
MO,low,86
TX,low,196
IA,low,81
MN,low,82
ND,low,37
DC,low,67
NV,low,29
NH,low,24
GU,low,2
UT,low,33
KS,low,84
VT,low,38
MI,low,147
OH,low,132
ID,low,30
MD,low,76
LA,low,61
DE,low,11
MT,low,57
WY,low,27
AK,low,64
VA,low,100
AZ,low,149
FL,low,103
NC,low,100
GA,low,89
IL,low,203
CT,low,60
RI,low,29
CO,low,61
OK,elevated,151
PR,elevated,17
SD,elevated,43
FM,elevated,3
IN,elevated,62
AR,elevated,54
WV,elevated,42
MH,elevated,1
PW,elevated,2
TN,elevated,51
VI,significant,4
MP,significant,2
AS,significant,1
