fy,id,perCap,fillKey
2001,AK,100.24,5
2001,AL,19.59,1
2001,AR,33.24,2
2001,AZ,23.48,1
2001,CA,19.42,1
2001,CO,20.86,1
2001,CT,20.97,1
2001,DC,127.19,6
2001,DE,12.77,1
2001,FL,10.23,1
2001,GA,15.51,1
2001,HI,61.47,3
2001,IA,29.75,2
2001,ID,12.55,1
2001,IL,16.04,1
2001,IN,13.97,1
2001,KS,33.33,2
2001,KY,16.16,1
2001,LA,21.88,1
2001,MA,22.06,1
2001,MD,17.22,1
2001,ME,22.82,1
2001,MI,15.1,1
2001,MN,25.4,2
2001,MO,12.6,1
2001,MS,27.31,2
2001,MT,80.02,4
2001,NC,18.5,1
2001,ND,88.05,4
2001,NE,23.7,1
2001,NH,12.11,1
2001,NJ,9.99,1
2001,NM,63.77,3
2001,NV,32.95,2
2001,NY,21.07,1
2001,OH,12.47,1
2001,OK,39,2
2001,OR,31.18,2
2001,PA,8.86,1
2001,PRI,14.73,1
2001,RI,9.41,1
2001,SC,31.16,2
2001,SD,67,3
2001,TN,15.98,1
2001,TX,18.48,1
2001,UT,32.35,2
2001,VA,9.51,1
2001,VT,44.72,2
2001,WA,20.47,1
2001,WI,22.63,1
2001,WV,15.65,1
2001,WY,56.81,3
