fy,id,perCap,fillKey
2013,AK,16.18,1
2013,AL,3.67,1
2013,AR,19.83,1
2013,AZ,4.76,1
2013,CA,7.3,1
2013,CO,11.74,1
2013,CT,12.84,1
2013,DC,86.12,4
2013,DE,2.17,1
2013,FL,3.72,1
2013,GA,7.34,1
2013,HI,8.99,1
2013,IA,4.3,1
2013,ID,3.18,1
2013,IL,7.04,1
2013,IN,0.92,1
2013,KS,8.18,1
2013,KY,13.34,1
2013,LA,1.16,1
2013,MA,5.05,1
2013,MD,11.57,1
2013,ME,13.36,1
2013,MI,8.12,1
2013,MN,2.78,1
2013,MO,3.13,1
2013,MS,3.08,1
2013,MT,14.93,1
2013,NC,4.05,1
2013,ND,11.32,1
2013,NE,3.36,1
2013,NH,0.82,1
2013,NJ,7.07,1
2013,NM,21.05,1
2013,NV,0.73,1
2013,NY,7.8,1
2013,OH,1.6,1
2013,OK,5.91,1
2013,OR,15.72,1
2013,PA,6.19,1
2013,PR,1.63,1
2013,RI,4.7,1
2013,SC,4.14,1
2013,SD,15.44,1
2013,TN,3.55,1
2013,TX,2.82,1
2013,UT,19.59,1
2013,VA,3.74,1
2013,VT,63.91,3
2013,WA,3.38,1
2013,WI,16.33,1
2013,WV,2.46,1
2013,WY,0.33,1
