fy,id,perCap,fillKey
2001,AK,100.24,5
2002,AK,130.89,6
2003,AK,139.67,6
2004,AK,108.47,5
2005,AK,152.4,7
2006,AK,138.01,6
2007,AK,82.03,4
2008,AK,106.97,5
2009,AK,113.61,5
2010,AK,116.94,5
2011,AK,88.32,4
2012,AK,112.93,5
2013,AK,16.18,1
2014,AK,54.55,3
2015,AK,39.49,2
2001,AL,19.59,1
2002,AL,13.08,1
2003,AL,16.04,1
2004,AL,32.85,2
2005,AL,18.36,1
2006,AL,8.71,1
2007,AL,48.61,2
2008,AL,12.82,1
2009,AL,6.78,1
2010,AL,30.8,2
2011,AL,7.57,1
2012,AL,36.91,2
2013,AL,3.67,1
2014,AL,6.68,1
2015,AL,15.27,1
2001,AR,33.24,2
2002,AR,25.04,2
2003,AR,22.72,1
2004,AR,12.89,1
2005,AR,19.42,1
2006,AR,10.98,1
2007,AR,39,2
2008,AR,12.75,1
2009,AR,9.24,1
2010,AR,30.49,2
2011,AR,11.69,1
2012,AR,23.87,1
2013,AR,19.83,1
2014,AR,1.31,1
2015,AR,14.71,1
2001,AZ,23.48,1
2002,AZ,16.4,1
2003,AZ,13.94,1
2004,AZ,11.27,1
2005,AZ,13.82,1
2006,AZ,10.62,1
2007,AZ,13.49,1
2008,AZ,9.04,1
2009,AZ,16.07,1
2010,AZ,26.7,2
2011,AZ,12.52,1
2012,AZ,17.27,1
2013,AZ,4.76,1
2014,AZ,3.75,1
2015,AZ,11.7,1
2001,CA,19.42,1
2002,CA,13.53,1
2003,CA,11.45,1
2004,CA,12.97,1
2005,CA,16.69,1
2006,CA,10.37,1
2007,CA,16.5,1
2008,CA,12.09,1
2009,CA,9.65,1
2010,CA,26.87,2
2011,CA,17.32,1
2012,CA,19.88,1
2013,CA,7.3,1
2014,CA,7.58,1
2015,CA,4.18,1
2001,CO,20.86,1
2002,CO,19.1,1
2003,CO,12.04,1
2004,CO,14.28,1
2005,CO,18.17,1
2006,CO,16.11,1
2007,CO,26.25,2
2008,CO,12.88,1
2009,CO,6.8,1
2010,CO,41.14,2
2011,CO,25.31,2
2012,CO,15.23,1
2013,CO,11.74,1
2014,CO,4.79,1
2015,CO,7.27,1
2001,CT,20.97,1
2002,CT,15.38,1
2003,CT,10.62,1
2004,CT,8.67,1
2005,CT,15.09,1
2006,CT,13.43,1
2007,CT,12.68,1
2008,CT,10.99,1
2009,CT,6.06,1
2010,CT,19.88,1
2011,CT,9.14,1
2012,CT,22.64,1
2013,CT,12.84,1
2014,CT,6.95,1
2015,CT,8.83,1
2001,DC,127.19,6
2002,DC,207.46,9
2003,DC,204.08,9
2004,DC,300.96,9
2005,DC,277.07,9
2006,DC,173.52,7
2007,DC,153.35,7
2008,DC,109.72,5
2009,DC,252.16,9
2010,DC,505.64,9
2011,DC,89.48,4
2012,DC,338.68,9
2013,DC,86.12,4
2014,DC,132.72,6
2015,DC,163.82,7
2001,DE,12.77,1
2002,DE,13.04,1
2003,DE,19.32,1
2004,DE,16.51,1
2005,DE,16.58,1
2006,DE,5.16,1
2007,DE,32.94,2
2008,DE,13.22,1
2009,DE,8.22,1
2010,DE,159.81,7
2011,DE,7.82,1
2012,DE,82.71,4
2013,DE,2.17,1
2014,DE,4.86,1
2015,DE,6.59,1
2001,FL,10.23,1
2002,FL,15.02,1
2003,FL,6.52,1
2004,FL,10.15,1
2005,FL,10.87,1
2006,FL,6.27,1
2007,FL,17.69,1
2008,FL,9.26,1
2009,FL,5.95,1
2010,FL,56.32,3
2011,FL,9.75,1
2012,FL,16.85,1
2013,FL,3.72,1
2014,FL,3.11,1
2015,FL,1.58,1
2001,GA,15.51,1
2002,GA,10.22,1
2003,GA,9,1
2004,GA,18.53,1
2005,GA,6.03,1
2006,GA,5.99,1
2007,GA,30.07,2
2008,GA,10.36,1
2009,GA,7.68,1
2010,GA,51.64,3
2011,GA,19.84,1
2012,GA,17.53,1
2013,GA,7.34,1
2014,GA,5.18,1
2015,GA,3.18,1
2001,HI,61.47,3
2002,HI,55.78,3
2003,HI,55.21,3
2004,HI,26.16,2
2005,HI,85.92,4
2006,HI,55.9,3
2007,HI,37.32,2
2008,HI,64.59,3
2009,HI,56.61,3
2010,HI,118.78,5
2011,HI,64.14,3
2012,HI,51.43,3
2013,HI,8.99,1
2014,HI,49.07,2
2015,HI,16.65,1
2001,IA,29.75,2
2002,IA,19.8,1
2003,IA,20.35,1
2004,IA,14.12,1
